fund_code,fund_info_名字,基金域品种名,verdict,所谓净值行,未删除预测引用,理由
000530,冰山冷热,招商丰盛稳定增长混合A,not_a_fund,50,0,「冰山冷热」在基金域查不到同名产品，检索到的是股票市场品种
000725,,大成添利宝货币B,unknown,122,1,缺少代码或名称，无法做身份判定
000801,,中金纯债A,unknown,57,4,缺少代码或名称，无法做身份判定
000938,紫光股份,华商稳固添利债券C,not_a_fund,20,0,「紫光股份」在基金域查不到同名产品，检索到的是股票市场品种
000970,中科三环,东方红睿元混合,not_a_fund,25,0,「中科三环」在基金域查不到同名产品，检索到的是股票市场品种
001309,德明利,东方红睿逸定期开放混合,not_a_fund,25,0,「德明利」在基金域查不到同名产品，检索到的是股票市场品种
002154,报 喜 鸟,华安安润灵活配置混合C,not_a_fund,20,0,「报 喜 鸟」在基金域查不到同名产品，检索到的是股票市场品种
002261,拓维信息,中银宝利混合A,not_a_fund,20,0,「拓维信息」在基金域查不到同名产品，检索到的是股票市场品种
002273,,宏利创益混合B,unknown,53,0,缺少代码或名称，无法做身份判定
002354,天娱数科,博时裕腾纯债债券A,not_a_fund,44,0,「天娱数科」在基金域查不到同名产品，检索到的是股票市场品种
002413,雷科防务,中银瑞利混合A,not_a_fund,20,0,「雷科防务」在基金域查不到同名产品，检索到的是股票市场品种
002900,哈三联,南方中证500信息技术联接A,not_a_fund,24,0,「哈三联」在基金域查不到同名产品，检索到的是股票市场品种
003033,,南方荣冠定开混合,unknown,20,6,缺少代码或名称，无法做身份判定
004529,工银瑞信中证中药指数A,长盛盛通纯债C,unknown,0,0,证据不足以判定：与代码的基金域名「长盛盛通纯债C」相似度 0.000，低于阈值但没有反向证据
006105,,宏利印度股票(QDII)A,unknown,77,33,缺少代码或名称，无法做身份判定
152788,21罗美债,,not_a_fund,0,0,「21罗美债」在基金域查不到同名产品，检索到的是股票市场品种
158006,,化工ETF博时,unknown,30,1,缺少代码或名称，无法做身份判定
159565,华夏中证华为产业链 ETF,汽车零部件ETF易方达,unknown,44,0,证据不足以判定：与代码的基金域名「汽车零部件ETF易方达」相似度 0.158，低于阈值但没有反向证据
159823,卫星互联网ETF,嘉实H股50ETF(QDII),unknown,0,0,证据不足以判定：与代码的基金域名「嘉实H股50ETF(QDII)」相似度 0.176，低于阈值但没有反向证据
159865,,养殖ETF国泰,unknown,85,1,缺少代码或名称，无法做身份判定
159886,富国中证核电ETF159886,机械ETF富国,unknown,53,0,证据不足以判定：与代码的基金域名「机械ETF富国」相似度 0.312，低于阈值但没有反向证据
159943,,深证成指ETF大成,unknown,64,1,缺少代码或名称，无法做身份判定
161226,,国投瑞银白银期货(LOF)A,unknown,85,1,缺少代码或名称，无法做身份判定
513520,,日经ETF华夏,unknown,58,8,缺少代码或名称，无法做身份判定
600189,泉阳泉,,not_a_fund,0,0,「泉阳泉」在基金域查不到同名产品，检索到的是股票市场品种
603758,秦安股份,,not_a_fund,0,0,「秦安股份」在基金域查不到同名产品，检索到的是股票市场品种
HYNX,二倍做多海力士ETF-T-REX,,not_a_fund,0,0,「二倍做多海力士ETF-T-REX」在基金域查不到同名产品，检索到的是股票市场品种
SBSP76,第一创业基础设施10号,,not_a_fund,0,0,「第一创业基础设施10号」在基金域查不到同名产品，检索到的是股票市场品种
ign,北美多媒体网络etf-ishares,,not_a_fund,0,0,「北美多媒体网络etf-ishares」在基金域查不到同名产品，检索到的是股票市场品种
